TRANSLATION_NAME|Troll Translation Inc.
TRANSLATION_AUTHOR|PROGUY
TRANSLATION_DESCRIPTION|Made for testing purposes. Use with caution.
TRANSLATION_FONT|
TRANSLATION_CONFIRM|GUNNA USE DIS
TRANSLATION_DEFAULT|Return to reality
TITLE_TRANSLATECREDIT|LOLLLLLLLLLLLLLLLL MAH NAMEZ HEERE|(this is a literal troll translation for testing purposes)
TITLE_BUTTON1|PLAY NAO
TITLE_BUTTON2|PLAY CUZTOM
TITLE_BUTTON3|LE EDITORZ
TITLE_BUTTON4|BYE BYE
SONGMENU_PLAYERLEVEL|UR LEVUL
SONGMENU_PLAYERSCORE|UR SKORE
SONGMENU_PLAYERNEXTLEVELSCORE|2 NXT LEVAL:
SONGMENU_SCROLLSPEED|CHART SPID:
SONGMENU_ACCURACYTOLERANCE|UR AIMING TOLERANS:
SONGMENU_GAMEOFFSET|ur offset:
SONGMENU_CHARTNONEXISTS|OMG TIS FOLDAH HAZ|NIL MAP CHARTZ||EITHER TAT OR U DON|NAME UR STUFF RITE||LOL
SONGMENU_CHARTDEV|TEH CHART MAKR:
SONGMENU_CHARTGAMETYPEHEADER|GAM MOAD:
SONGMENU_CHARTGAMETYPEBODY0|Lineur
SONGMENU_CHARTGAMETYPEBODY1|Dubbel
SONGMENU_CHARTGAMETYPEBODY2|Kuade
SONGMENU_CHARTGAMETYPEBODY3|PowahfuL
SONGMENU_CHARTGAMETYPEBODY4|Supah(man)
SONGMENU_CHARTGAMETYPEBODY5|ULTRAH
SONGMENU_CHARTGAMETYPEBODY6|BLK KORE
SONGMENU_CHARTGAMETYPEBODY7|DANMAKU
SONGMENU_CHARTLEVEL|LEVUL:
SONGMENU_CHARTLENGTH|LENGTUH:
SONGMENU_CHARTBPM|TEMPOOOOOOOOOO:
SONGMENU_CHARTJUDGELEVEL|THE LAW (lvl):
SONGMENU_RECORDACCURACY|UR REKURD:
SONGMENU_RECORDPLAYCOUNT|TIMS PLAYD:
SONGMENU_RECORDDISABLE|well sht records are a no
SONGMENU_RECORDDELETE|omg u rmoved ur best %s
SONGMENU_BUTTONBACK|GO BAK
SONGMENU_BUTTONPLAY|PLAY!!!!!!
SONGMENU_BUTTONAUTO|hld ma beer
SONGMENU_BUTTONSETTINGSOPEN|chang ur SETTINS
SONGMENU_BUTTONSETTINGSCLOSE|finish ur stuff
SONGMENU_BUTTONSETTINGSPAGE1|[pag 1]
SONGMENU_BUTTONSETTINGSPAGE2|[pge 2]
SONGMENU_BUTTONSETTINGSPAGE3|[pae 3]
SONGMENU_BUTTONSETTINGSMODSHEADER|mods 2 make ur gam crazee
SONGMENU_BUTTONSETTINGSMODSBODY|comin soon.......... in 2256
