TRANSLATION_NAME|Template Translation Text
TRANSLATION_AUTHOR|PROGUY
TRANSLATION_DESCRIPTION|Used as a template for translating/editing in-game texts without altering the game with 3rd-party measures.
TRANSLATION_FONT|
TRANSLATION_CONFIRM|Use translation
TRANSLATION_DEFAULT|Use default
TITLE_TRANSLATECREDIT|Put your name/version/whatever here.
TITLE_BUTTONSONGOFFICIAL|Play Official
TITLE_BUTTONMARATHON|Marathon
TITLE_BUTTONSONGCUSTOM|Play Custom
TITLE_BUTTONEDITOR|Chart Editor
TITLE_BUTTONEXIT|Exit Game
TITLE_BUTTONTUTORIAL|How to Play
SONGMENU_PLAYERLEVEL|Level
SONGMENU_PLAYERSCORE|Score
SONGMENU_PLAYERNEXTLEVELSCORE|Next Level:
SONGMENU_SCROLLSPEED|Note Scroll Speed:
SONGMENU_ACCURACYTHRESHOLD|Accuracy Threshold:
SONGMENU_GAMEOFFSET|Offset:
SONGMENU_CHARTNONEXISTS|There are no map charts in|this song folder's contents.||Please make sure your map|chart files are named in the|correct format.
SONGMENU_CHARTDEV|Mapchart Producer:
SONGMENU_CHARTGAMETYPEHEADER|Mapchart Mode:
SONGMENU_CHARTGAMETYPEBODY0|Linear
SONGMENU_CHARTGAMETYPEBODY1|Double
SONGMENU_CHARTGAMETYPEBODY2|Quad
SONGMENU_CHARTGAMETYPEBODY3|Note Dodge
SONGMENU_CHARTLEVEL|Mapchart Level:
SONGMENU_CHARTLENGTH|Length:
SONGMENU_CHARTBPM|BPM:
SONGMENU_CHARTJUDGELEVEL|Judgement Level:
SONGMENU_CHARTCHECKSUM|MD5 Checksum:
SONGMENU_RECORDACCURACY|Best Accuracy:
SONGMENU_RECORDPLAYCOUNT|Attempts:
SONGMENU_RECORDDISABLE|Record and scoring disabled.
SONGMENU_RECORDDELETE|Records deleted.
SONGMENU_BUTTONBACK|< BACK
SONGMENU_BUTTONPLAY|PLAY >
SONGMENU_BUTTONAUTO|PREVIEW
SONGMENU_BUTTONSETTINGSOPEN|Game Settings
SONGMENU_BUTTONSETTINGSCLOSE|Exit Settings
SONGMENU_BUTTONSETTINGSPAGE1|[Page 1]
SONGMENU_BUTTONSETTINGSPAGE2|[Page 2]
SONGMENU_BUTTONSETTINGSPAGE3|[Page 3]
SONGMENU_BUTTONSETTINGSMODSHEADER|Game Modifiers
SONGMENU_BUTTONSETTINGSMODSBODY|Fun modifiers to play the game in unusual ways. Will disable scoring.
SONGMENU_BUTTONSETTINGSACCURACYTHRESHOLDHEADER|Accuracy Threshold
SONGMENU_BUTTONSETTINGSACCURACYTHRESHOLDBODY|The required accuracy to clear a chart. If it becomes impossible|to achieve this number, the game will forcefully end.
SONGMENU_BUTTONSETTINGSBACKGROUNDBRIGHTNESSHEADER|Background Brightness
SONGMENU_BUTTONSETTINGSBACKGROUNDBRIGHTNESSBODY|Adjust the brightness of the in-game background.
SONGMENU_BUTTONSETTINGSMOUSESENSITIVITYHEADER|Mouse Sensitivity
SONGMENU_BUTTONSETTINGSMOUSESENSITIVITYBODY|Affects catcher movement speed via the mouse.
SONGMENU_BUTTONSETTINGSVOLUMEMUSICHEADER|Music Volume
SONGMENU_BUTTONSETTINGSVOLUMEMUSICBODY|Loudness of in-game songs being played.
SONGMENU_BUTTONSETTINGSVOLUMEEFFECTHEADER|Sound Effect Volume
SONGMENU_BUTTONSETTINGSVOLUMEEFFECTBODY|Loudness of in-game sound effects and song's hit sounds being played.
SONGMENU_BUTTONSETTINGSGAMEOFFSETHEADER|Game Offset
SONGMENU_BUTTONSETTINGSGAMEOFFSETBODY|Chart timing calibration.
SONGMENU_BUTTONSETTINGSSHOWCURRENTCOMBOHEADER|Show Current Combo
SONGMENU_BUTTONSETTINGSSHOWCURRENTCOMBOBODY|Displays your combo in the middle of the screen.
SONGMENU_BUTTONSETTINGSSHOWSONGDETAILSHEADER|Show Song Details
SONGMENU_BUTTONSETTINGSSHOWSONGDETAILSBODY|Displays the song's name and chart's details above the play area.
SONGMENU_BUTTONSETTINGSSHOWPLAYACCURACYHEADER|Show Current Accuracy
SONGMENU_BUTTONSETTINGSSHOWPLAYACCURACYBODY|Displays your accuracy below the play area.
SONGMENU_BUTTONSETTINGSSHOWRECORDGHOSTHEADER|Show Record Ghost
SONGMENU_BUTTONSETTINGSSHOWRECORDGHOSTBODY|Displays a number in the middle to show the difference between you and your old record if applicable.
SONGMENU_BUTTONSETTINGSSHOWHITJUDGMENTHEADER|Show Note Hit Judgment
SONGMENU_BUTTONSETTINGSSHOWHITJUDGMENTBODY|Display the note judgment rating each time you hit a note.
SONGMENU_BUTTONSETTINGSSHOWCOUNTJUDGMENTHEADER|Show Judgment Count
SONGMENU_BUTTONSETTINGSSHOWCOUNTJUDGMENTBODY|Display each judgment hit count on the bottom-right corner of the screen.
SONGMENU_BUTTONSETTINGSENABLEOBJECTBEATPULSEHEADER|Enable Object Pulse On Beat
SONGMENU_BUTTONSETTINGSENABLEOBJECTBEATPULSEBODY|When enabled, all notes and catchers have an outline that pulses on each beat.
SONGMENU_BUTTONSETTINGSENABLEASSISTTICKHEADER|Enable Assist Tick Sound
SONGMENU_BUTTONSETTINGSENABLEASSISTTICKBODY|Toggle sound tick on each note you hit.
MARATHONMENU_SONGLIST|Chart List:
MARATHONMENU_SONGLISTEMPTY|None.
MARATHONMENU_SONGLISTMANY|A lot!
MARATHONMENU_MODIFIERS|Modifiers:
MARATHONMENU_MODIFIERSEMPTY|None.
MARATHONMENU_WINCONDITIONNULL|No win condition.
MARATHONMENU_WINCONDITIONACCURACY|Accuracy Threshold:
MARATHONMENU_WINCONDITIONMISS|Note Miss Threshold:
GAME_CHARTDEV|Mapchart by
GAME_CHARTLEVEL|Level
GAME_CHARTCHECKSUM|Chart MD5 Checksum:
GAME_PAUSEHEADER|GAME PAUSED
GAME_PAUSEBUTTONRESUME|Continue
GAME_PAUSEBUTTONEND|Force End
GAME_PAUSEFAILNOTIFICATION|Wait at least three seconds from your last pause to pause again.
GAME_FULLCOMBONORMAL|SMOOTH|RHYTHM
GAME_FULLCOMBOPERFECT|PERFECT|RHYTHM
GAME_RESULTPLAYPERFECT|PERFECT RHYTHM
GAME_RESULTPLAYCLEAR|COMPLETE RHYTHM
GAME_RESULTPLAYFAIL|UNDESIRED RHYTHM
GAME_RESULTPLAYMARATHONCOMPLETE|MARATHON COMPLETE
GAME_RESULTTITLE1|RESULT
GAME_RESULTTITLE2|PREV. RECORD
GAME_RESULTTITLE3|ACTIONS
GAME_RESULTBESTCOMBO|BEST COMBO
GAME_RESULTJUDGELABEL|BEST|GOOD|FINE|MISS
GAME_RESULTJUDGELABELND|HITS
GAME_RESULTSCOREADD|Score:
GAME_RESULTRECORDDISABLE|This session's score will not be recorded because it has been disabled.
GAME_RESULTNEWRECORD|NEW|RECORD
GAME_RESULTBUTTONRETRY|RETRY
GAME_RESULTBUTTONEXIT|EXIT
GAME_RESULTLEVELUP|LEVEL UP!|Your Play Level has rose to
CREATOR_INPUTFIELDFILENAME|Chart file name
CREATOR_INPUTFIELDOPTIONAL|It is optional to enter here
CREATOR_INPUTFIELDENTERTEXT|Enter text here
CREATOR_INPUTFIELDENTERVALUE|Enter value here
CREATOR_CHARTGAMETYPEHEADER|Chart Game Mode
CREATOR_CHARTGAMETYPEBODY0|Linear
CREATOR_CHARTGAMETYPEBODY1|Double
CREATOR_CHARTGAMETYPEBODY2|Quad
CREATOR_CHARTGAMETYPEBODY3|Note Dodge
CREATOR_NOTEPLACETYPEHEADER|Note Placement Type
CREATOR_NOTEPLACETYPEBODY0|Catch Down
CREATOR_NOTEPLACETYPEBODY1|Catch Up
CREATOR_NOTEPLACETYPEBODY2|Catch Left
CREATOR_NOTEPLACETYPEBODY3|Catch Right
CREATOR_NOTEPLACETYPEBODY4|Tap Down
CREATOR_NOTEPLACETYPEBODY5|Tap Up
CREATOR_NOTEPLACETYPEBODY6|Tap Left
CREATOR_NOTEPLACETYPEBODY7|Tap Right
CREATOR_NOTEPLACETYPEHELP|* Hold <color="yellow">Left Ctrl/Cmd</color>, and <color="yellow">left-click</color> on the chart to <color="cyan">place notes</color> or <color="yellow">right-click</color> to <color=#ff2222>delete placed notes</color>.
** Additionally, <color="yellow">hold Left Shift</color> to <color=#00ff00>ignore horizontal position grid snap note placement</color>.
CREATOR_NOTELENGTHHEADER|Note Length
CREATOR_NOTELENGTHHELP|* Must be <color=yellow>a valid number above 0.01</color> to place valid long notes.|** Additionally, you can directly edit an already placed note's length by dragging it while <color=yellow>holding Left Shift</color>.
CREATOR_NOTESPEEDHEADER|Note Scroll Speed Multiplier
CREATOR_NOTEHITSOUNDHEADER|Note Hit Sound ID
CREATOR_VIEWZOOM|View Zoom
CREATOR_SONGNAME|Song Name
CREATOR_SONGARTIST|Song Artist
CREATOR_CHARTDEV|Chart Developer
CREATOR_CHARTDESCRIPTION|Chart Description
CREATOR_CHARTOFFSET|Chart Offset
CREATOR_SONGBPM|Song BPM
CREATOR_SONGLENGTH|Song Length
CREATOR_JUDGEDIFFICULTY|Judge Difficulty
CREATOR_BEATSNAPDIVISORHEADER|Beat Snap Divisor
CREATOR_HORISNAPDIVISORHEADER|Hori. Pos. Snap Divisor
CREATOR_CHARTLEVEL|CHART LEVEL
CREATOR_CURRENTMEASURE|Measure
CREATOR_CURRENTBEAT|Beat
CREATOR_CURRENTSONGPOSITION|Song Pos
CREATOR_CURRENTSONGPOSITIONUNKNOWN|Song Pos Unknown
CREATOR_BEATSPERMEASURE|Beats Per Measure
CREATOR_TEMPOCHANGELABEL|Beat : BPM : Time
CREATOR_TEMPOCHANGE1HEADER|Song BPM Changes
CREATOR_TEMPOCHANGE1BUTTONEDIT|Edit
CREATOR_TEMPOCHANGE1BUTTONDELETE|Delete
CREATOR_TEMPOCHANGE1INPUTAREA|BPM INPUT
CREATOR_TEMPOCHANGE1BUTTONADD|Add new BPM change
CREATOR_TEMPOCHANGE1BUTTONCLOSE|Close
CREATOR_TEMPOCHANGE2HEADER|Edit BPM Change
CREATOR_TEMPOCHANGE2BUTTONEDIT|Finalize Change
CREATOR_TEMPOCHANGE2BUTTONCLOSE|Cancel
CREATOR_OPTIONSMANUAL|<color=yellow>[F1]</color>  Open <color=lime>Online Manual</color> (English)
CREATOR_OPTIONSMANUALNOTIFICATION|Atempting to open the online chart editor manual with your default browser...
CREATOR_OPTIONSMOUSESCROLLFUNCHEADER|Mouse Scroll Function
CREATOR_OPTIONSMOUSESCROLLFUNCBODY0|Move Chart
CREATOR_OPTIONSMOUSESCROLLFUNCBODY1|Move Chart Invert
CREATOR_OPTIONSMOUSESCROLLFUNCBODY2|Zoom Chart
CREATOR_OPTIONSMOUSESCROLLFUNCBODY3|Change Note Type
CREATOR_OPTIONSMOUSESCROLLFUNCBODY4|Change Beat Snap
CREATOR_BUTTONLOADCHART|Load
CREATOR_BUTTONSAVECHART|Save
CREATOR_BUTTONOPTIONSCLOSE|Save & Close
CREATOR_BUTTONOPTIONSOPEN|Editor Settings
CREATOR_BUTTONOPTIONSCLEARCHART|Clear Chart
CREATOR_BUTTONOPTIONSEXITEDITOR|Exit Editor
CREATOR_BUTTONCONFIRMATIONCLEARCHARTALL|CLEAR ALL
CREATOR_BUTTONCONFIRMATIONCLEARCHARTNOTEONLY|CLEAR NOTES ONLY
CREATOR_BUTTONCONFIRMATIONLOADCHART|LOAD CHART
CREATOR_BUTTONCONFIRMATIONSAVECHART|SAVE CHART
CREATOR_BUTTONCANCEL|CANCEL
CREATOR_BUTTONYES|YES
CREATOR_BUTTONNO|NO
CREATOR_BUTTONUP|Up
CREATOR_BUTTONDOWN|Dn
CREATOR_CLEARCONFIRMHEADER|CLEAR CONFIRMATION
CREATOR_CLEARCONFIRMBODY|You are about to wipe the chart to a blank|state. Doing so WILL remove all work done.||<color=ff3030>This CANNOT be undone.</color>||Are you sure you want to work from scratch?
CREATOR_SAVECONFIRMHEADER|SAVE CONFIRMATION
CREATOR_SAVECONFIRMBODY|You are about to SAVE the chart into a text file.||If the file of the same name already exists,|it WILL be overwritten and <color=ff3030>this CANNOT be undone.</color>||Are you sure you want to continue?
CREATOR_SAVESUCCESS|Save successful. Your chart is saved here:
CREATOR_LOADCONFIRMHEADER|LOAD CONFIRMATION
CREATOR_LOADCONFIRMBODY|You are about to LOAD the chart from a text file.||All current work will be wiped in the process.|<color=ff3030>This CANNOT be undone.</color>||Are you sure you want to continue?
CREATOR_LOADSUCCESS|Chart loaded successfully.
CREATOR_EXITCONFIRMHEADER|EXIT CONFIRMATION
CREATOR_EXITCONFIRMBODY|You are about to return to the title screen.|Doing so WILL remove all work done.||<color=ff3030>This CANNOT be undone.</color>||Are you sure you want to exit?
CREATOR_ERRORCHANGEGAMETYPE1|You must clear ALL notes from the chart|if you want to change game modes.
CREATOR_ERRORCHANGEGAMETYPE2|To clear all notes, click the following buttons:|Editor Settings > Clear Chart > Clear Notes Only
CREATOR_ERRORLOADCHARTNONEXISTENT|The following chart file does not exist:
CREATOR_ERRORSAVECHARTEMPTY|Save cancelled, the chart does not have at least one note.
CREATOR_ERRORLOADCHARTNEWVERSION1|Failed to load the chart. The chart's version is somehow newer than the currently supported version.
CREATOR_ERRORLOADCHARTNEWVERSION2|Please download the latest version of the game to be able to load this chart in the editor.
TUTORIAL_BUTTONSKIP|Skip
